item_id	citation	title	authority_tier	validity	validity_note	version_id	lang	source_url	retrieved	media_type	bytes	sha256
discussion-topics__h-transaction-logs-kept-by-the-wallet	EUDI ARF v3.0.0 — discussion-topics/h-transaction-logs-kept-by-the-wallet.md	Topic H - Transaction logs kept by the Wallet	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/discussion-topics/h-transaction-logs-kept-by-the-wallet.md	2026-07-31	text/markdown	41246	015ae5a7fd473f31459bf788ae211d4e884427f02df09020897a3ff9a7b26d07
discussion-topics__i-natural-person-representing-another-natural-person	EUDI ARF v3.0.0 — discussion-topics/i-natural-person-representing-another-natural-person.md	I - Natural person representing another natural person	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/discussion-topics/i-natural-person-representing-another-natural-person.md	2026-07-31	text/markdown	8536	172fa04da371e1ce384826dddd280d040d2ba17a7b7c2a23d4bb615660fa16f0
discussion-topics__j-rr-wallet-to-wallet-interactions	EUDI ARF v3.0.0 — discussion-topics/j-rr-wallet-to-wallet-interactions.md	Topic J - Wallet to Wallet Interactions (Revision Round)	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/discussion-topics/j-rr-wallet-to-wallet-interactions.md	2026-07-31	text/markdown	48931	e922c43aa1fa40c25e7f88ad783d0af99cdd53def8598856eeb51e92eabf4d41
discussion-topics__j-wallet-to-wallet-interactions	EUDI ARF v3.0.0 — discussion-topics/j-wallet-to-wallet-interactions.md	J - Wallet to Wallet Interactions	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/discussion-topics/j-wallet-to-wallet-interactions.md	2026-07-31	text/markdown	24085	de2ab4a21878ae74aff04d0dfb81da557d4500adc61e84ee076aa50279d4c2ca
discussion-topics__k-combined-presentation-of-attestations	EUDI ARF v3.0.0 — discussion-topics/k-combined-presentation-of-attestations.md	K - Combined presentation of Attestations	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/discussion-topics/k-combined-presentation-of-attestations.md	2026-07-31	text/markdown	17536	a42c48581d0214532e454dedbd7f2c5bcd76d9cb5e700390c5a6586b85b11f11
discussion-topics__l+m-data-deletion-and-reporting-of-wrp-to-dpa	EUDI ARF v3.0.0 — discussion-topics/l+m-data-deletion-and-reporting-of-wrp-to-dpa.md	L+M - Requesting erasure of personal data at a wallet-relying party and reporting a wallet-relying party to the competent data protection supervisory authority	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/discussion-topics/l+m-data-deletion-and-reporting-of-wrp-to-dpa.md	2026-07-31	text/markdown	61886	3cc12eedd77e93e93fdcfff76687bb9642eaeb3fcc96335973f8ab248e4c6cc1
discussion-topics__n-export-and-data-portability	EUDI ARF v3.0.0 — discussion-topics/n-export-and-data-portability.md	Topic N - Export and data portability	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/discussion-topics/n-export-and-data-portability.md	2026-07-31	text/markdown	35457	bad0488a115ab78ef2527c4ffbfc28b1a00d78f24c9f1a743177c39c2679a3e9
discussion-topics__o-catalogues-for-attestations	EUDI ARF v3.0.0 — discussion-topics/o-catalogues-for-attestations.md	Topic O - Catalogues for Attestations	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/discussion-topics/o-catalogues-for-attestations.md	2026-07-31	text/markdown	14680	67bed046f44c13c5bb551a1c6ec87018e924b7323775b4184157440e95b951b1
discussion-topics__p-secure-cryptographic-interface-between-the-Wallet-Instance-and-WSCA	EUDI ARF v3.0.0 — discussion-topics/p-secure-cryptographic-interface-between-the-Wallet-Instance-and-WSCA.md	Topic P - Secure Cryptographic Interface between the Wallet Instance and WSCA	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/discussion-topics/p-secure-cryptographic-interface-between-the-Wallet-Instance-and-WSCA.md	2026-07-31	text/markdown	12998	c81e5106b766f2f2b22e2b7468658f9b6a7d94ee8752210d065da70987886f7b
discussion-topics__q-interface-user-wallet-instance	EUDI ARF v3.0.0 — discussion-topics/q-interface-user-wallet-instance.md	Topic Q - Interface between the User and the Wallet Instance	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/discussion-topics/q-interface-user-wallet-instance.md	2026-07-31	text/markdown	8645	30cf039789744b053046d4cfb60cd26813d02b67e8d6080822aba9eb9bcb8693
discussion-topics__r-authentication-of-user-to-device	EUDI ARF v3.0.0 — discussion-topics/r-authentication-of-user-to-device.md	Topic R - Authentication of the User to the device	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/discussion-topics/r-authentication-of-user-to-device.md	2026-07-31	text/markdown	31915	a537957e1a8fe1bd651adeef5a33a1fd7dcd9d5eccd5005868683bdd5d4fad8b
